AMKEY,ActivityMetric
3,Advisory fees as per income statement
6,Air emissions of the following pollutants: (1) CO
7,Air emissions of the following pollutants: (2) NOx (excluding N2O)
8,Air emissions of the following pollutants: (3) SOx
9,Air emissions of the following pollutants: (4) particulate matter (PM10)
10,Air emissions of the following pollutants: (5)  volatile organic compounds (VOCs)
11,ALL Administration expenses per income statement
12,All Inury Frequency Rate (Injuries/1m hrs worked)
13,"Amount of assets under management, by asset class, that employ governance issues"
14,"Amount of assets under management, by asset class, that employ integration of environmental issues"
15,"Amount of assets under management, by asset class, that employ integration of environmental, social, and governance issues"
16,"Amount of assets under management, by asset class, that employ social issues"
17,"Amount of assets under management, by asset class, that employ sustainability themed investing"
18,"Amount of assets under management, by asset class, that employ sustainability themed screening"
20,Amount of fines paid or payable due to settlements
21,Volume of Waste sent for Recycling (tonnes) – Food Waste Recovered
26,Area of forestland leased
27,Area of forestland managed by the entity
28,Area of forestland owned
29,Area of forestland restored and or rehabilitated
31,Area of forestland with protected conservation status
35,Audit committee meeting attendance rate
38,Average hours of training
41,"Average number hours of health, safety, and emergency response training for full-time employees"
42,"Average number of hours of health, safety, and emergency response training for contract employees"
43,Average number of hours of training on anti-corruption issues per year
44,The average number of hours of training on anti-corruption issues per employee
46,"BBBEE procurement spend from Exempt Micro Enterprises (EMEs), Qualifyimg Small Enterprises (QSEs) & Empowering Suppliers that are >51 black owned"
47,BBBEE procurement spend from Qualifyimg Small Enterprises (QSEs) as a % of total spend
48,BBBEE procurment spend from all EME's as a % of total spend
49,B-BBEE Scorecard Level
50,Percentage of black board members
51,Black female exec. directors as a % of all directors
52,Board meeting attendance rate
53,Board members between 30 - 50
54,Board members over 50
55,Board members under 30
62,Contractor costs per income statement
63,Corporate office costs per income statement
64,Cost of sales as per income statement
65,Cost relating to acquisition per income statement
66,Custom duties as per income statement
67,Depreciation as per income statement
70,Description of management approach to identifying and addressing data security risks
74,"Description of approach to incorporation of environmental, social, and governance (ESG) factors in investment and/or wealth management processes and strategies"
77,Description of approach to informing customers about products and services
82,Description of environmental management policies and practices for active sites
83,Description of proxy voting and investee engagement policies and procedures
86,Description of the management system for prevention of corruption and bribery throughout the value chain
90,"Discussion of engagement processes and due diligence practices with respect to human rights, indigenous rights, and operation in areas of conflict"
93,Discussion of management of accident and safety risks and long-term health and safety risks
95,Discussion of processes to assess and manage risks and/or hazards associated with chemicals in products
96,Discussion of process to identify and manage emerging materials and chemicals of concern on product safety
97,Discussion of process to manage risks and opportunities associated with community rights and interests
100,Discussion of strategies to reduce the environmental impact of packaging
101,Duration of strikes and lockouts
103,Economic interest (% ownership) of black people
104,Economic interest (% ownership) of black women
105,Emissions Reduction Strategy
109,Employee wages and benefits
110,Employee wages and benefits as a proportion of revenue
111,Employee wages and benefits as a proportion of revenue by gender: Male
112,Employee wages and benefits as a proportion of revenue by race
113,Energy Efficiency (Energy consumption per net value added)
114,Energy Efficiency (Energy consumption per saleable output)
115,Exercisable voting rights in the hands of black people
116,Exercisable voting rights in the hands of black women
118,Expenditure on employee training
119,Expenditure on employee training per employee
120,Expenditures on employee health and safety (Total spend on occupational safety initiatives)
121,Expenditures on employee health and safety as a proportion of revenue
122,Fatal injury frequency rate (FIFR)
123,Fatality rate
124,Finance cost per income statement
125,Financial assistance received from the government - Total monetary value of financial assistance received by the organisation from any government during the reporting period
126,Frequency/incident rates of occupational injuries
128,GHG Scope 1 emissions
129,GHG Scope 2 emissions
130,GHG Scope 3 emissions
132,Graduation of 1 or more Enteprise Development beneficiaries to Supplier Development beneficiary
133,Greenhouse Gas (GHG) intensity rate
134,Gross Value Added
135,Hazardous waste
136,Hazardous waste recycled
137,Hazardous waste recycled as a percentage of total waste
138,Hazardous waste to legal landfill
141,Income from investments per income statement
142,Industry membership contributions per income statement
143,Infrastructure development in host communities
144,Insurance expenditure per income statement
145,Investment in water and sanitation infrastructure
146,Total spend directed towards impact investments
148,Involuntary turnover rate for all employees
150,Legal fees per income statement
151,Lost-time injury frequency rate (LTIFR)
153,Maintenance costs per income statement
154,Material costs per income statement
156,"Number of Medical Treatment Cases (MTCs, i.e. injuries on duty leading to medical treatment, but no lost days)"
157,Medically treated injury frequency rate (MTIFR)
162,Movement in Inventories per income statement
163,Natural gas consumed
164,Near miss frequency rate (NMFR)
166,Net value added (NVA)
169,Non-hazardous waste
170,Non-hazardous waste sent to legal landfill
172,Number and duration of non-technical delays
179,Number of account holders affected by data breaches
183,Number of audit committee meetings
185,Number of black female board members
187,"Number of black people participating in learnerships, internships & apprenticeships"
188,Number of black people/HDSA  in executive management
189,Number of black people/HDSA  in junior management
190,Number of black people/HDSA  in middle management
191,Number of black people/HDSA  in senior management
193,Number of black women in middle management
194,Number of black women in executive management
195,Number of black women in junior management
196,Number of black women in senior management
197,Number of board meetings
198,Number of Compensation for Occupational Injuries and Diseases (COID) lost time for employees
203,Number of data breaches
212,Number of employees covered by medical aid/wellness benefits
213,Number of employees living with disabilities (PwD)
214,Number of employees screened for HIV/AIDS
216,Number of environmental incidents with a negative impact
219,Number of work-related fatalities
220,Number of female board members
222,Number of food items/units recalled
226,HIV/AIDS management programme
228,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations"
229,Number of jobs directly created as a result of enterprise & supplier development (ESD) initiatives
232,Number of legal judgements or convictions
236,Number of lost time injuries for employees
243,Number of occupational diseases
244,Number of occupational injuries
246,Number of employees in/ recipients of leadership training
252,"Number of recalls issued, total units recalled"
259,Number of strikes and lockouts
262,"Number of tailings impoundments, broken down by MSHA hazard potential"
265,Occupational illness rate
267,Other costs as per income statement
268,Other Income as per income statement
269,Ozone depleting substances (Total amount of ozone-depleting substances (ODS) (bulk chemicals/substances existing either as a pure substance or as a mixture) per net value added.)
273,Patents & licencing costs - Additions as per balance sheet
274,Penalties/fines or contributions paid
275,Percentage covered under emissions-limiting regulations
276,Percentage grid electricity
277,Percentage hazardous waste recycled
278,Percentage of  coloured & indian people in junior management
279,Percentage of  coloured & indian people in middle management
281,Percentage of Black people in Executive Management
282,Percentage of Black people in Non-Executive Management
285,Percentage of black people/ HDSA in executive management
286,Percentage of black people/ HDSA in junior management
287,Percentage of black people/ HDSA in middle management
288,Percentage of black people/ HDSA in senior management
289,Percentage of black people/ HDSA in workforce
290,Percentage of coloured & indian people in executive management
291,Percentage of coloured & indian people in senior management
293,Percentage of data breaches involving personally identifiable information (PII)
294,Percentage of discretionary procurement
295,Percentage of employees covered by collective agreements
298,Percentage of female board members
300,Percentage of Management (Top and Senior) who are Women
302,Female employees professionally-qualified
308,Percentage of Indian people in Non-Executive Management
311,Percentage of local procurement (BEE spend in SA)
314,Percentage of Male in Non-executive Management
316,Percentage of mine sites where acid rock drainage is actively mitigated
317,Percentage of mine sites where acid rock drainage is predicted to occur
318,Percentage of mine sites where acid rock drainage is under treatment or remediation
319,Percentage of mineral processing waste recycled
321,Percentage of other racial group in non-executive management
323,Percentage of payroll spent on skills development for black employees through specified learning programmes
324,Percentage of probable reserves in or near areas of conflict
325,Percentage of probable reserves in or near indigenous land
326,Percentage of probable reserves in or near sites with protected conservation status or endangered species habitat
331,Percentage of proved reserves in or near areas of conflict
332,Percentage of proved reserves in or near indigenous land
333,Percentage of proved reserves in or near sites with protected conservation status or endangered species habitat
334,Percentage of tailings waste recycled
338,Percentage of waste recycled
339,Percentage of water recycling and reuse
341,Percentage of white people in junior management positions
343,Percentage of white people in non-executive management
347,Percentage of white people of the board of directors
348,Percentage of women in management
349,Percentage of women in workforce
353,Percentage Renewable Energy
356,Plant readiness as per income statement
364,Procurement from suppliers that are majority black-owned or 30% or more black women-owned
366,Production in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index
367,Production of finished metal products
368,Production of metal ores
369,Project studies as per income statement
376,Proportion of Women in Management
379,Recordable injury frequency rate (RIFR)
380,Reduction of waste generation (per net value)
382,Restructuring costs per income statement
385,Revenue
390,Security per income statement
393,Share of renewable energy used
394,Share-based payment expense per income statement
397,Spend on academic staff or academic institutions
