AMKEY,Group,ActivityMetric,ClientMetric
7,Impala,Air emissions of the following pollutants: (2) NOx (excluding N2O),Total indirect Nox
7,Sasol,Air emissions of the following pollutants: (2) NOx (excluding N2O),Nitrogen oxides (NOx) (kilotons)
8,Sasol,Air emissions of the following pollutants: (3) SOx,Sulphur oxides (SOx ) (kilotons)
8,Ssw,Air emissions of the following pollutants: (3) SOx,SO2 emissions
8,Impala,Air emissions of the following pollutants: (3) SOx,Total direct SO2 + Total indirect SO2
9,Sasol,Air emissions of the following pollutants: (4) particulate matter (PM10),Particulates (fly ash) (kilotons)
10,Sasol,Air emissions of the following pollutants: (5)  volatile organic compounds (VOCs),Volatile Organic Compounds (VOC) Indicator of Performance (kilotons)
12,Tongaat,All Inury Frequency Rate (Injuries/1m hrs worked),Total injury frequency rate (TIFR) – employees and contractors
27,Ssw,Area of forestland managed by the entity,Land under management
27,Impala,Area of forestland managed by the entity,Leased and managed land - South Africa
28,Tongaat,Area of forestland owned,Total – company managed/farmed land (owned and leased)
29,Ssw,Area of forestland restored and or rehabilitated,Total land rehabilitated
29,Impala,Area of forestland restored and or rehabilitated,Disturbed areas rehabilitated
31,Sasol,Area of forestland with protected conservation status,Area dedicated to biodiversity and conservation (hectares)
46,Absa,"BBBEE procurement spend from Exempt Micro Enterprises (EMEs), Qualifyimg Small Enterprises (QSEs) & Empowering Suppliers that are >51 black owned",Total procurement spend on qualifying small enterprises and exempt micro enterprises(Rbn)
46,Oceana1&2,"BBBEE procurement spend from Exempt Micro Enterprises (EMEs), Qualifyimg Small Enterprises (QSEs) & Empowering Suppliers that are >51 black owned",51% black-owned suppliers
47,Oceana1&2,BBBEE procurement spend from Qualifyimg Small Enterprises (QSEs) as a % of total spend,Empowering QSE Suppliers
49,Sasol,B-BBEE Scorecard Level,B-BBEE verification certificate
49,Distell,B-BBEE Scorecard Level,B-BBEE level
49,Oceana1&2,B-BBEE Scorecard Level,B-BBEE level achieved
49,Tongaat,B-BBEE Scorecard Level,B-BBEE Level
49,Absa,B-BBEE Scorecard Level,B-BBEE level (South Africa)
52,Tongaat,Board meeting attendance rate,Overall Board and Committee meeting attendance
52,Absa,Board meeting attendance rate,Board meeting attendance (%)
52,Distell,Board meeting attendance rate,Overall board and committee meeting attendance
53,Ssw,Board members between 30 - 50,younger than 50
53,Absa,Board members between 30 - 50,Average age 40-49 years
54,Absa,Board members over 50,Average age 50+
54,Ssw,Board members over 50,between 50 and 60 + older than 60
67,Uct1&2,Depreciation as per income statement,Depreciation
109,Uct1&2,Employee wages and benefits,Personnel
109,Distell,Employee wages and benefits,"Rand value of total compensation paid to employees, including wages and benefits in South Africa"
109,Sasol,Employee wages and benefits,Value added statement (unaudited) - Employees
109,Absa,Employee wages and benefits,Staff costs and benefits (Rbn)
109,Oceana1&2,Employee wages and benefits,Salaries and employee benefits
109,Ssw,Employee wages and benefits,Salaries and wages paid
114,Tongaat,Energy Efficiency (Energy consumption per saleable output),Energy efficiency: total direct and indirect energy consumed per ton of sugar produced
122,Absa,Fatal injury frequency rate (FIFR),Fatal-injury frequency rate (number of fatalities per 200 000 person hours worked)
122,Sasol,Fatal injury frequency rate (FIFR),Employee and service provider fatal injury frequency rate
122,Impala,Fatal injury frequency rate (FIFR),FIFR
122,Tongaat,Fatal injury frequency rate (FIFR),"Fatal injury frequency rate (FIFR, i.e. number of fatalities per 200 000 person hours worked) – employees and contractors"
123,Oceana1&2,Fatality rate,Fatality
124,Uct1&2,Finance cost per income statement,Finance costs
128,Impala,GHG Scope 1 emissions,Total direct CO2
128,Uct1&2,GHG Scope 1 emissions,Sub-Total Scope 1
128,Tongaat,GHG Scope 1 emissions,Carbon emissions – Scope 1
128,Oceana1&2,GHG Scope 1 emissions,Scope 1 CO2e emissions (direct – fossil fuels/non-renewable) (tonnes)
128,Absa,GHG Scope 1 emissions,Scope 1
128,Sasol,GHG Scope 1 emissions,Direct carbon dioxide (CO2 ) Scope 1 (kilotons)
128,Distell,GHG Scope 1 emissions,Carbon emissions (tonnes CO2 e) – Scope 1
129,Tongaat,GHG Scope 2 emissions,Carbon emissions – Scope 2
129,Distell,GHG Scope 2 emissions,Carbon emissions (tonnes CO2 e) – Scope 2
129,Sasol,GHG Scope 2 emissions,Indirect carbon dioxide (CO2 ) Scope 2 (kilotons)
129,Oceana1&2,GHG Scope 2 emissions,Scope 2 CO2e emissions (indirect - electricity purchased) (tonnes)
129,Impala,GHG Scope 2 emissions,Total indirect CO2
129,Uct1&2,GHG Scope 2 emissions,Sub-Total Scope 2: location-based
129,Absa,GHG Scope 2 emissions,Scope 2
130,Absa,GHG Scope 3 emissions,Scope 3
130,Ssw,GHG Scope 3 emissions,Scope 3
130,Oceana1&2,GHG Scope 3 emissions,"Scope 3 CO2e emission (indirect, not scope 1 or 2) (tonnes)"
130,Uct1&2,GHG Scope 3 emissions,Sub-Total Scope 3
130,Distell,GHG Scope 3 emissions,Carbon emissions (Tonnes CO2 e) – Scope 3
133,Ssw,Greenhouse Gas (GHG) intensity rate,Emissions intensity (Average of SA Region) - tCO_{2} e/t milled
133,Absa,Greenhouse Gas (GHG) intensity rate,Intensity ratio
135,Sasol,Hazardous waste,Hazardous waste (kilotons)
135,Distell,Hazardous waste,Total volume of hazardous waste disposed (tonnes) – to registered disposal sites
136,Impala,Hazardous waste recycled,Non-mineral/hazardous waste - Recycled
136,Ssw,Hazardous waste recycled,"Hazardous waste recycled, reused and treated"
138,Tongaat,Hazardous waste to legal landfill,Hazardous waste disposed of at appropriate facilities
138,Ssw,Hazardous waste to legal landfill,Hazardous waste to landfil
143,Oceana1&2,Infrastructure development in host communities,Infrastructure Development
151,Impala,Lost-time injury frequency rate (LTIFR),LTIFR (including RWC)
151,Absa,Lost-time injury frequency rate (LTIFR),Lost-time injury frequency rate (number of lost-time injuries per 200 000 person hours worked) (South Africa)
151,Ssw,Lost-time injury frequency rate (LTIFR),Lost-time injury frequency rate (LTIFR) (Average of SA Region)
151,Sasol,Lost-time injury frequency rate (LTIFR),Lost Workday Case Rate (LWDCR)
151,Distell,Lost-time injury frequency rate (LTIFR),"Lost Time Injury Frequency Rate (LTIFR, i.e., number of LTIs per 200 000 person hours worked) – reported"
151,Tongaat,Lost-time injury frequency rate (LTIFR),"Lost time injury frequency rate (LTIFR, i.e. number of LTIs per 200 000 person hours worked) – employees and contractors"
151,Oceana1&2,Lost-time injury frequency rate (LTIFR),Lost Time Injury Frequency Rate
