ID,2021_Value,2020_Value,2019_Value
3_X_Absa,,,
6_X_Absa,,,
7_X_Absa,,,
8_X_Absa,,,
9_X_Absa,,,
10_X_Absa,,,
11_X_Absa,,,
12_X_Absa,,,
13_X_Absa,,,
14_X_Absa,,,
15_X_Absa,,,
16_X_Absa,,,
17_X_Absa,,,
18_X_Absa,,,
20_X_Absa,,,
21_X_Absa,,,
26_X_Absa,,,
27_X_Absa,,,
28_X_Absa,,,
29_X_Absa,,,
31_X_Absa,,,
35_X_Absa,,,
38_X_Absa,,,
41_X_Absa,,,
42_X_Absa,,,
43_X_Absa,,,
44_X_Absa,,,
46_X_Absa,4400000000.0,3500000000.0,2700000000.0
47_X_Absa,,,
48_X_Absa,,,
49_X_Absa,1.0,2.0,1.0
50_X_Absa,,,
51_X_Absa,,,
52_X_Absa,98.0,99.0,95.0
53_X_Absa,3.0,3.0,4.0
54_X_Absa,12.0,13.0,12.0
55_X_Absa,,,
62_X_Absa,,,
63_X_Absa,,,
64_X_Absa,,,
65_X_Absa,,,
66_X_Absa,,,
67_X_Absa,,,
70_X_Absa,,,
74_X_Absa,,,
77_X_Absa,,,
82_X_Absa,,,
83_X_Absa,,,
86_X_Absa,,,
90_X_Absa,,,
93_X_Absa,,,
95_X_Absa,,,
96_X_Absa,,,
97_X_Absa,,,
100_X_Absa,,,
101_X_Absa,,,
103_X_Absa,,,
104_X_Absa,,,
105_X_Absa,,,
109_X_Absa,26133000000.0,25407000000.0,26262000000.0
110_X_Absa,,,
111_X_Absa,,,
112_X_Absa,,,
113_X_Absa,,,
114_X_Absa,,,
115_X_Absa,,,
116_X_Absa,,,
118_X_Absa,,,
119_X_Absa,,,
120_X_Absa,,,
121_X_Absa,,,
122_X_Absa,0.0,0.0,0.0
123_X_Absa,,,
124_X_Absa,,,
125_X_Absa,,,
126_X_Absa,,,
128_X_Absa,12276.0,12258.0,20835.0
129_X_Absa,158756.0,160222.0,104716.0
130_X_Absa,16205.0,17481.0,27775.0
132_X_Absa,,,
133_X_Absa,5.02,4.81,5.79
134_X_Absa,,,
135_X_Absa,,,
136_X_Absa,,,
137_X_Absa,,,
138_X_Absa,,,
141_X_Absa,,,
142_X_Absa,,,
143_X_Absa,,,
144_X_Absa,,,
145_X_Absa,,,
146_X_Absa,,,
148_X_Absa,,,
150_X_Absa,,,
151_X_Absa,0.06,0.11,0.15
153_X_Absa,,,
154_X_Absa,,,
156_X_Absa,,,
157_X_Absa,,,
162_X_Absa,,,
163_X_Absa,30463.9382409177,29572.3041108985,64147.4268642445
164_X_Absa,,,
166_X_Absa,,,
169_X_Absa,,,
170_X_Absa,250.0,777.0,1415.0
172_X_Absa,,,
179_X_Absa,,,
183_X_Absa,,,
185_X_Absa,,,
187_X_Absa,,,
188_X_Absa,,,
189_X_Absa,,,
190_X_Absa,,,
191_X_Absa,,,
193_X_Absa,,,
194_X_Absa,,,
195_X_Absa,,,
196_X_Absa,,,
197_X_Absa,,,
198_X_Absa,,,
203_X_Absa,,,
212_X_Absa,,,
213_X_Absa,,,
214_X_Absa,,,
216_X_Absa,,,
219_X_Absa,0.0,0.0,0.0
220_X_Absa,6.0,5.0,4.0
222_X_Absa,,,
226_X_Absa,,,
228_X_Absa,,,
229_X_Absa,,,
232_X_Absa,,,
236_X_Absa,,,
243_X_Absa,,,
244_X_Absa,25.0,52.0,128.0
246_X_Absa,829.0,527.0,684.0
252_X_Absa,,,
259_X_Absa,,,
262_X_Absa,,,
265_X_Absa,,,
267_X_Absa,,,
268_X_Absa,,,
269_X_Absa,,,
273_X_Absa,,,
274_X_Absa,,,
275_X_Absa,,,
276_X_Absa,,,
277_X_Absa,,,
278_X_Absa,,,
279_X_Absa,,,
281_X_Absa,,,
282_X_Absa,,,
285_X_Absa,,,
286_X_Absa,,,
287_X_Absa,,,
288_X_Absa,,,
289_X_Absa,,,
290_X_Absa,,,
291_X_Absa,,,
293_X_Absa,,,
294_X_Absa,,,
295_X_Absa,38.1,53.8,56.0
298_X_Absa,,,
300_X_Absa,,,
302_X_Absa,,,
308_X_Absa,,,
311_X_Absa,86.2,94.7,93.7
314_X_Absa,,,
316_X_Absa,,,
317_X_Absa,,,
318_X_Absa,,,
319_X_Absa,,,
321_X_Absa,,,
323_X_Absa,,,
324_X_Absa,,,
325_X_Absa,,,
326_X_Absa,,,
331_X_Absa,,,
332_X_Absa,,,
333_X_Absa,,,
334_X_Absa,,,
338_X_Absa,,,
339_X_Absa,,,
341_X_Absa,,,
343_X_Absa,,,
347_X_Absa,,,
348_X_Absa,61.8,62.0,62.5
349_X_Absa,60.9,61.1,61.1
353_X_Absa,,,
356_X_Absa,,,
364_X_Absa,6500000000.0,4800000000.0,5700000000.0
366_X_Absa,,,
367_X_Absa,,,
368_X_Absa,,,
369_X_Absa,,,
376_X_Absa,,,
379_X_Absa,,,
380_X_Absa,,,
382_X_Absa,,,
385_X_Absa,,,
390_X_Absa,,,
393_X_Absa,,,
394_X_Absa,,,
397_X_Absa,,,
398_X_Absa,,,
399_X_Absa,,,
400_X_Absa,,,
404_X_Absa,,,
406_X_Absa,,,
407_X_Absa,,,
414_X_Absa,,,
418_X_Absa,,,
421_X_Absa,,,
430_X_Absa,,,
432_X_Absa,,,
433_X_Absa,,,
435_X_Absa,,,
439_X_Absa,,,
444_X_Absa,8463000000.0,1844000000.0,1468000000.0
445_X_Absa,,,
448_X_Absa,,,
449_X_Absa,,,
451_X_Absa,,,
452_X_Absa,,,
453_X_Absa,,,
458_X_Absa,,,
460_X_Absa,,,
461_X_Absa,,,
466_X_Absa,449000000.0,406200000.0,450500000.0
467_X_Absa,,,
468_X_Absa,812374.632,808535.97,1007415.7488
471_X_Absa,,,
473_X_Absa,,,
474_X_Absa,,,
475_X_Absa,,,
476_X_Absa,,,
477_X_Absa,,,
479_X_Absa,,,
480_X_Absa,,,
482_X_Absa,,,
483_X_Absa,,,
484_X_Absa,,,
488_X_Absa,,,
489_X_Absa,206.103,160.848,
490_X_Absa,30707.5428,24010.8516,19575.6696
491_X_Absa,,,
498_X_Absa,,,
499_X_Absa,,,
500_X_Absa,1900000.0,1300000.0,1000000.0
502_X_Absa,,,
504_X_Absa,,,
506_X_Absa,16300000000.0,17800000000.0,17700000000.0
508_X_Absa,180036.673,181696.723,197887.701
511_X_Absa,1148.0,864.0,
513_X_Absa,,,
517_X_Absa,,,
523_X_Absa,25908.0,27160.0,28296.0
525_X_Absa,,,
530_X_Absa,,,
532_X_Absa,,,
533_X_Absa,,,
539_X_Absa,,,
550_X_Absa,,,
554_X_Absa,1834.0,530.0,
555_X_Absa,,,
561_X_Absa,,,
564_X_Absa,,,
565_X_Absa,,,
566_X_Absa,,,
572_X_Absa,,,
573_X_Absa,,,
574_X_Absa,,,
575_X_Absa,18900000000.0,18800000000.0,18900000000.0
579_X_Absa,,,
582_X_Absa,,,
585_X_Absa,,,
586_X_Absa,,,
587_X_Absa,,,
590_X_Absa,,,
592_X_Absa,,,
595_X_Absa,,,
596_X_Absa,,,
597_X_Absa,,,
599_X_Absa,,,
601_X_Absa,,,
602_X_Absa,,,
605_X_Absa,,,
606_X_Absa,,,
607_X_Absa,,,
608_X_Absa,,,
609_X_Absa,,,
613_X_Absa,,,
615_X_Absa,,,
616_X_Absa,,,
617_X_Absa,,,
619_X_Absa,,,
620_X_Absa,,,
621_X_Absa,,,
622_X_Absa,,,
623_X_Absa,,,
627_X_Absa,,,
628_X_Absa,,,
629_X_Absa,,,
630_X_Absa,,,
631_X_Absa,,,
632_X_Absa,,,
638_X_Absa,,,
639_X_Absa,,,
640_X_Absa,,,
644_X_Absa,,,
650_X_Absa,,,
654_X_Absa,,,
678_X_Absa,,,
679_X_Absa,,,
684_X_Absa,,,
689_X_Absa,,,
698_X_Absa,,,
700_X_Absa,,,
703_X_Absa,,,
704_X_Absa,,,
713_X_Absa,,,
716_X_Absa,,,
732_X_Absa,8.7,7.0,11.9
733_X_Absa,709.0,1903.0,3063.0
734_X_Absa,459.0,1126.0,1645.0
735_X_Absa,,,
736_X_Absa,,,
737_X_Absa,,,
738_X_Absa,,,
742_X_Absa,,,
749_X_Absa,,,
750_X_Absa,15.0,16.0,16.0
751_X_Absa,55.33,56.42,39.24
753_X_Absa,,,
757_X_Absa,,,
758_X_Absa,,,
759_X_Absa,,,
760_X_Absa,,,
761_X_Absa,,,
762_X_Absa,,,
763_X_Absa,,,
764_X_Absa,60.2,40.17,41.55
765_X_Absa,,,
766_X_Absa,47.84,27.89,35.6
767_X_Absa,,,
768_X_Absa,,,
771_X_Absa,,,
772_X_Absa,,,
773_X_Absa,,,
774_X_Absa,,,
775_X_Absa,,,
776_X_Absa,,,
777_X_Absa,,,
778_X_Absa,,,
779_X_Absa,,,
781_X_Absa,,,
782_X_Absa,,,
783_X_Absa,,,
784_X_Absa,,,
785_X_Absa,,,
786_X_Absa,,,
788_X_Absa,,,
789_X_Absa,,,
790_X_Absa,,,
791_X_Absa,,,
792_X_Absa,,,
794_X_Absa,2.0,2.0,3.0
