ID,2022_Value,ActivityMetric,AMKEY,group,query,Value
1040_X_Distell,0.0,Number of lost days (Distell Group),,Distell,Number of lost days (Distell Group) in Distell company in the year ,161.0
1041_X_Distell,0.0,Percentage of board members who are deemed non-executive,,Distell,Percentage of board members who are deemed non-executive in Distell company in the year ,83.3
1041_X_Tongaat,0.0,Percentage of non-executive Board members,,Tongaat,Percentage of non-executive Board members in Tongaat company in the year ,0.0
1042_X_Distell,0.0,Percentage of board members who are deemed 'independent',,Distell,Percentage of board members who are deemed 'independent' in Distell company in the year ,66.7
1042_X_Ssw,0.0,"Independent, non-executive directors",,Ssw,"Independent, non-executive directors in Ssw company in the year ",0.0
1042_X_Tongaat,0.0,Percentage of independent Board members,,Tongaat,Percentage of independent Board members in Tongaat company in the year ,0.0
1070_X_Tongaat,0.0,Environmental fines and/or non-compliances,,Tongaat,Environmental fines and/or non-compliances in Tongaat company in the year ,0.0
109_X_Absa,0.0,Staff costs and benefits (Rbn),,Absa,Staff costs and benefits (Rbn) in Absa company in the year ,27873000000.0
109_X_Distell,0.0,"Rand value of total compensation paid to employees, including wages and benefits in South Africa",,Distell,"Rand value of total compensation paid to employees, including wages and benefits in South Africa in Distell company in the year ",0.0
109_X_Oceana1&2,0.0,Salaries and employee benefits,,Oceana1&2,Salaries and employee benefits in Oceana1&2 company in the year ,0.0
109_X_Sasol,0.0,Value added statement (unaudited) - Employees,,Sasol,Value added statement (unaudited) - Employees in Sasol company in the year ,84000.0
109_X_Ssw,0.0,Salaries and wages paid,,Ssw,Salaries and wages paid in Ssw company in the year ,21849.0
109_X_Uct1&2,0.0,Personnel,,Uct1&2,Personnel in Uct1&2 company in the year ,0.0
10_X_Sasol,0.0,Volatile Organic Compounds (VOC) Indicator of Performance (kilotons),,Sasol,Volatile Organic Compounds (VOC) Indicator of Performance (kilotons) in Sasol company in the year ,13.42
114_X_Tongaat,0.0,Energy efficiency: total direct and indirect energy consumed per ton of sugar produced,,Tongaat,Energy efficiency: total direct and indirect energy consumed per ton of sugar produced in Tongaat company in the year ,0.0
122_X_Absa,0.0,Fatal-injury frequency rate (number of fatalities per 200 000 person hours worked),,Absa,Fatal-injury frequency rate (number of fatalities per 200 000 person hours worked) in Absa company in the year ,0.13
122_X_Impala,0.0,FIFR,,Impala,FIFR in Impala company in the year ,0.04
122_X_Sasol,0.0,Employee and service provider fatal injury frequency rate,,Sasol,Employee and service provider fatal injury frequency rate in Sasol company in the year ,0.0
122_X_Tongaat,0.0,"Fatal injury frequency rate (FIFR, i.e. number of fatalities per 200 000 person hours worked) – employees and contractors",,Tongaat,"Fatal injury frequency rate (FIFR, i.e. number of fatalities per 200 000 person hours worked) – employees and contractors in Tongaat company in the year ",0.0
123_X_Oceana1&2,0.0,Fatality,,Oceana1&2,Fatality in Oceana1&2 company in the year ,5.0
124_X_Uct1&2,0.0,Finance costs,,Uct1&2,Finance costs in Uct1&2 company in the year ,0.0
128_X_Absa,0.0,Scope 1,,Absa,Scope 1 in Absa company in the year ,15885.0
128_X_Distell,0.0,Carbon emissions (tonnes CO2 e) – Scope 1,,Distell,Carbon emissions (tonnes CO2 e) – Scope 1 in Distell company in the year ,157.0
128_X_Impala,0.0,Total direct CO2,,Impala,Total direct CO2 in Impala company in the year ,360000.0
128_X_Oceana1&2,0.0,Scope 1 CO2e emissions (direct – fossil fuels/non-renewable) (tonnes),,Oceana1&2,Scope 1 CO2e emissions (direct – fossil fuels/non-renewable) (tonnes) in Oceana1&2 company in the year ,154577.0
128_X_Sasol,0.0,Direct carbon dioxide (CO2 ) Scope 1 (kilotons),,Sasol,Direct carbon dioxide (CO2 ) Scope 1 (kilotons) in Sasol company in the year ,57644.0
128_X_Tongaat,0.0,Carbon emissions – Scope 1,,Tongaat,Carbon emissions – Scope 1 in Tongaat company in the year ,0.0
128_X_Uct1&2,0.0,Sub-Total Scope 1,,Uct1&2,Sub-Total Scope 1 in Uct1&2 company in the year ,136888.0
129_X_Absa,0.0,Scope 2,,Absa,Scope 2 in Absa company in the year ,177489.0
129_X_Distell,0.0,Carbon emissions (tonnes CO2 e) – Scope 2,,Distell,Carbon emissions (tonnes CO2 e) – Scope 2 in Distell company in the year ,77621.0
